JCR Cell Biology,JCR Psychopathol. & Dev. Disabilities,ACR Cell Biology,ACR Psychopathol. & Dev. Disabilities,RCR Cell Biology,RCR Psychopathol. & Dev. Disabilities
2.964,8.172,5,7,0.579067,1.315846
2.964,8.172,21,2,2.657391,0.372681
2.964,8.172,6,0,1.139592,0
2.964,8.172,4,8,0.402662,1.417342
7.148,8.172,6.5,14.33333,0.714224,2.517054
7.148,8.172,5,10.33333,0.628267,1.772393
7.148,8.172,0.5,11,0.050255,1.880522
7.148,8.172,1.5,6.666667,0.239712,0.8807
7.148,8.172,2.5,5.666667,0.249863,1.330584
7.148,8.172,0,5,0,0.874733
7.148,8.172,3.5,24,0.272172,4.468629
7.148,13.26,1.5,1.333333,0.278717,0.195023
7.148,13.26,2.5,55,0.322298,8.262869
7.148,13.26,4,0,0.276766,0
7.148,13.26,1.5,17.33333,0.137734,2.691757
11.68,13.26,4,12,0.437554,1.786066
11.68,13.26,7,17.33333,0.767428,3.023939
11.68,3.909,4,10.66667,0.418318,1.868246
11.68,4.345,3,2,0.405204,0.379491
11.68,4.345,2,2,0.252441,0.429671
4.293,4.345,1.5,7,0.392123,1.295689
3.817,4.345,7,1.666667,1.018708,0.363739
3.817,4.345,3.5,0.666667,0.589414,0.117446
3.817,4.345,2,3,0.262593,0.645497
3.817,4.345,2,4.333333,0.310033,0.855538
3.817,4.345,3,0.666667,0.523553,0.126557
3.817,4.345,1.5,3.666667,0.235962,0.642723
3.817,4.345,5,3,0.808501,0.512976
3.817,4.345,6,26.33333,0.962576,4.216768
4.686,4.345,2.5,3,0.370779,0.442752
3.522,4.345,4,6.333333,0.661789,1.065952
3.881,4.345,4,4,0.565284,0.800101
3.881,4.345,1,1,0.113702,0.280938
4.137,4.345,7,6,0.819055,1.058502
4.137,4.345,1,0,0.185388,0
3.284,4.345,2,11,0.371709,1.966025
4.106,4.345,2.5,10.66667,0.698946,1.681633
3.236,4.345,3,5,0.457115,0.778736
5.874,4.345,2.5,1.333333,0.524139,0.312211
5.874,4.345,3.5,4.666667,0.614548,0.837409
2.976,4.345,3,9.333333,1.095782,1.943943
6.188,4.345,2.5,3.333333,0.307817,0.477387
2.376,4.345,0,1.333333,0,0.326129
2.847,4.345,3,2,0.354752,0.384863
2.847,4.345,4,2.333333,0.544508,0.46063
2.847,2.949,1,4,0.068902,0.720788
29.742,2.949,28,0.666667,3.309367,0.11492
14.078,2.949,29,6.666667,3.277183,1.205212
14.078,2.949,6.5,1.333333,0.658631,0.21282
14.078,2.949,19.5,3.333333,2.316839,0.563376
14.078,2.949,12,5,1.214288,0.921317
12.415,5.231,17.5,8.666667,2.338773,1.556837
7.878,5.231,14.5,4.333333,2.491628,0.818409
18.778,5.231,119,16.66667,14.56551,2.99381
18.778,6.993,17.5,3.333333,1.898299,0.582981
19.238,6.993,78,4.333333,12.32591,0.785762
16.106,6.993,10.5,10,1.230379,1.880216
16.106,6.993,24.5,2,3.747772,0.246316
28.415,6.993,35.5,20.66667,4.414936,3.378187
28.415,6.993,49.5,5.666667,6.790608,1.092132
28.415,6.993,8.5,6,0.827312,1.238601
4.397,6.993,7,5,1.191316,0.707384
4.397,6.993,8,4.666667,1.092203,1.248491
4.397,1.805,0.5,1,0.057949,0.195889
3.778,1.805,2.5,5.333333,0.562845,0.947656
3.022,1.805,4.5,0.666667,0.516218,0.096248
3.022,1.805,2,5,0.566763,0.848319
3.022,1.805,5,0.666667,1.104231,0.166458
3.516,1.805,2.5,8.333333,0.501205,1.882078
3.516,3.292,1,5.666667,0.122123,1.071567
3.516,3.292,1,15.66667,0.183717,3.38395
3.516,3.292,2.5,1,0.443615,0.203051
3.516,3.292,5.5,4.333333,1.030537,0.637468
3.516,3.292,1,10,0.309988,1.638109
3.516,3.292,2.5,6,0.392522,1.040261
7.215,3.292,4,9,0.589125,1.454399
7.215,7.791,1.5,5.666667,0.262422,1.168005
7.215,7.791,3.5,15.66667,0.501746,2.73857
8.435,7.791,3,6.666667,0.356908,1.363613
2.7,7.791,2.5,4.666667,0.267354,1.234109
2.138,1.925,3.5,1,0.441683,0.242781
6.643,1.925,1,3.666667,0.098683,0.736733
6.643,1.925,6,1,0.727522,0.147033
6.643,1.925,3.5,1,0.458027,0.134918
6.643,1.925,0,2.666667,0,0.97062
2.481,1.925,1.5,4.333333,0.204632,0.985101
2.595,3.274,12,1.333333,1.612942,0.308894
2.595,3.274,3.5,6.666667,0.557285,1.409344
2.595,3.274,5,2.666667,0.578328,0.753823
2.595,3.274,1.5,1.666667,0.220115,0.348213
2.595,3.274,2,2,0.278599,0.457548
2.595,2.557,2.5,4,0.445443,0.954895
3.989,2.557,1.5,1.666667,0.15434,0.288838
3.226,2.557,8,4,1.067983,0.97496
3.226,2.557,4.5,9,0.369185,2.451158
3.226,3.366,3.5,2.666667,0.542202,0.497794
3.226,3.366,5,0.666667,0.563522,0.120053
3.226,2.934,5.5,0.666667,0.802445,0.093151
3.226,1.53,1,4.333333,0.083383,1.103113
3.226,1.435,2,2.333333,0.33746,0.838634
3.226,5.371,3,3,0.449048,0.683538
3.226,5.371,0.5,12,0.108166,2.5017
3.226,2.406,3,2.333333,0.319087,0.367396
3.226,2.134,12.5,1.333333,1.970774,0.346472
3.226,2.607,1,1,0.144974,0.173482
5.002,4.687,0.5,35.66667,0.075369,5.684417
4.479,4.687,5,17.66667,0.498356,3.350941
4.479,4.687,12,7.666667,1.768059,1.77558
4.877,4.687,2,3.666667,0.25365,0.618598
3.603,1.462,0,1,0,0.249127
1.667,1.462,1.5,2.666667,0.233645,0.809954
3.651,1.462,2,0.666667,0.268495,0.185629
7.883,0.552,6,2,0.714713,0.384154
7.883,3.695,15,4.666667,2.407984,0.526626
7.883,3.991,1.5,1.666667,0.175075,0.256843
7.883,8.897,10,13.33333,1.463323,2.326105
4.218,2.967,3.5,7,0.508327,1.398371
4.218,2.967,0.5,1.666667,0.048381,0.503827
4.218,2.967,1.5,2,0.143218,0.549594
4.218,2.967,4,8.333333,0.45747,1.911604
4.218,2.967,5.5,2.666667,0.841937,0.6279
10.558,2.967,9,2.333333,0.899137,0.668889
10.558,2.967,0.5,2.666667,0.054987,0.495556
10.558,2.967,5.5,2.666667,0.65883,0.569211
10.558,2.967,12,6.333333,1.027669,1.437221
10.558,2.967,5.5,1.666667,0.520516,0.328917
10.558,2.967,9,12,0.846693,2.39104
10.558,2.967,12.5,0.666667,2.229357,0.106129
2.716,2.967,1.5,10.66667,0.208111,2.054234
1.521,5.117,1.5,7,0.268769,1.573142
2.167,5.117,1,5,0.090984,1.090798
3.029,2.295,1,0.333333,0.091013,0.135073
3.029,2.082,0,3.666667,0,0.967359
3.029,3.773,2,12.66667,0.203153,2.379798
5.203,3.295,1,2.333333,0.112814,0.481132
5.203,3.295,3.5,33.66667,0.383193,5.973471
5.203,3.295,1.5,1.333333,0.135618,0.257775
2.464,3.295,1.5,2.666667,0.224569,0.569622
2.464,12.916,2,2.333333,0.218654,0.325131
2.464,4.351,2.5,3,0.337369,0.611772
2.464,4.351,4,2.666667,0.36644,0.354019
2.464,4.351,1,3.666667,0.099053,0.696555
2.781,4.351,0,1.333333,0,0.250573
2.781,4.351,1.5,5.666667,0.166015,0.762412
2.781,4.351,4,6,0.493846,0.945787
2.781,4.351,1.5,3,0.158774,0.444887
2.781,4.351,1.5,6.666667,0.139359,1.030826
2.781,4.351,2,3.666667,0.240293,0.693768
3.702,9.432,0.5,10,0.096946,1.557532
3.702,9.432,0,9.666667,0,1.681021
3.702,9.432,8,11,1.062393,1.760205
4.206,9.432,2,6,0.197143,0.950642
4.206,9.432,2,13,0.283881,2.425086
4.206,9.432,5,8,0.836224,1.066874
3.565,9.432,1.5,3,0.231967,0.717147
3.565,9.432,1.5,11.66667,0.126997,1.955886
4.601,9.432,0.5,7.333333,0.082037,1.237813
4.601,9.432,1.5,6,0.21722,0.975523
2.498,9.432,2,9.666667,0.40849,1.914079
2.498,9.432,1,4,0.179083,0.702797
2.498,2.491,5,0.666667,0.88475,0.157658
2.498,2.823,2.5,0,0.433317,0
2.498,2.823,3,5.333333,0.569007,0.912515
4.942,2.823,2,11.33333,0.278766,2.027467
4.925,2.53,17.5,6,2.689545,1.217719
4.925,2.327,2.5,3.333333,0.430057,0.598138
26.925,2.373,27,7.333333,3.110314,1.275592
26.925,2.373,7,1.666667,0.678517,0.511541
26.925,2.373,6,90.66667,0.809499,17.6909
26.925,2.373,13.5,1.333333,1.369476,0.262957
26.925,2.373,0,2,0,0.370761
26.925,2.89,33,0.333333,3.016356,0.113962
4.864,2.89,6.5,17.66667,1.761148,4.181383
4.864,12.854,11,1.666667,1.46253,0.321263
8.234,12.854,5,2.333333,0.80646,0.428252
8.234,5.012,16.5,5.333333,1.802445,1.194461
8.234,5.012,13.5,9.666667,1.357052,1.918135
8.234,5.012,21.5,1.666667,2.181241,0.325517
8.234,5.012,8.5,4.333333,0.998302,0.984549
8.234,5.012,7,2,0.619376,0.504667
8.234,5.012,2.5,3,0.406886,0.662769
8.234,0.346,2,0.333333,0.365704,0.0398
1.898,9.082,1.5,12.66667,0.276486,2.134301
32.406,9.082,93,10.33333,11.12913,2.66246
32.406,9.082,0.5,15,0.052116,2.438115
32.406,9.082,24,16.66667,3.368978,3.251229
32.406,9.082,7,5,0.773355,0.806593
32.406,9.082,51.5,4,6.723319,0.981466
32.406,5.09,18.5,6,2.310955,1.113985
32.406,5.09,21.5,25.66667,2.586172,3.901113
32.406,5.09,64,19,6.300771,3.911214
32.406,5.09,21,1.333333,2.327439,0.419274
32.406,5.09,0,13.33333,0,2.674137
32.406,5.09,3,2.666667,0.250442,0.432684
32.406,5.09,8,7.333333,0.739335,1.38847
32.406,5.09,37,6,3.937742,1.408336
32.406,5.09,0,4.666667,0,0.888326
32.406,5.09,20.5,6.666667,2.150396,1.136628
32.406,5.09,187.5,1.666667,23.94745,0.419032
32.406,5.09,27,5.333333,3.207661,1.415065
32.406,5.09,41.5,7,4.781945,1.377745
32.406,5.09,11.5,9.666667,1.358089,2.124616
32.406,5.09,20,4,2.15402,0.987265
32.406,5.09,27,10,2.918738,1.819634
32.406,5.09,2,8,0.283443,2.210114
32.406,5.09,23,8,2.396129,1.480326
32.406,2.733,9,4.666667,1.018371,0.92087
1.747,2.733,2,3.666667,0.202283,1.222488
3.553,2.733,4.5,2,0.670848,0.538559
4.999,2.733,3,1.333333,0.354926,0.221596
4.999,2.679,5,5.666667,0.497238,1.590652
4.999,4.194,0,4.666667,0,0.810321
4.999,4.194,5,21,0.623114,4.763051
4.999,4.194,1,1.666667,0.080874,0.344028
4.999,4.194,0,5,0,1.045954
4.999,2.183,7,4,0.768257,0.713966
4.999,2.183,0.5,1.666667,0.072701,0.389914
4.999,2.183,0,5,0,1.126033
4.999,2.183,11.5,3.333333,1.092797,0.484147
4.999,2.183,4,14.33333,0.324444,3.597489
4.999,2.183,5,1.333333,0.599114,0.29815
4.999,2.183,2.5,1.666667,0.252453,0.304582
4.999,2.183,2,2,0.175327,0.507025
4.999,2.183,0,2.333333,0,0.561652
4.999,2.183,5.5,2,0.672885,0.673267
4.999,2.183,1.5,5,0.227213,1.052083
9.05,2.183,7,1.333333,0.71147,0.248738
9.05,2.183,1.5,7.333333,0.150356,1.469793
9.05,2.183,6,3.666667,0.607222,0.794091
9.05,2.183,3,2.666667,0.341749,0.514751
9.05,4.103,12.5,3.666667,1.205678,0.840253
9.05,4.103,1,2.666667,0.168464,0.468112
18.207,4.103,47.5,4.333333,5.669068,0.980676
18.207,4.103,4.5,6.333333,0.45182,1.038827
18.207,4.103,7,3.333333,0.820831,0.540863
18.207,4.103,3.5,2,0.267829,0.447311
25.943,4.103,37.5,8.666667,3.886959,1.918258
25.943,4.103,20,2,1.66577,0.413667
25.943,4.103,42,2.333333,3.723417,0.387943
25.943,4.103,6,3.666667,0.474903,0.527126
25.943,4.103,31,2.333333,2.7748,0.481135
25.943,4.103,30,4.333333,2.729243,1.115411
7.047,4.103,8,1.333333,0.773503,0.319591
7.047,4.103,0.5,4,0.076891,0.816749
4.243,4.103,7,1,0.830964,0.239011
4.243,4.103,7.5,5.666667,1.209654,1.298746
4.243,4.103,2,5.333333,0.257689,1.246883
4.243,4.103,9,6.666667,1.11643,1.601452
4.243,4.103,7.5,1.333333,1.173955,0.24663
2.103,4.103,2.5,5.333333,1.131158,0.773506
2.527,4.103,2,2,0.33584,0.409761
2.108,4.103,1.5,1.666667,0.275063,0.452586
5.576,4.103,1.5,2.333333,0.267955,0.467589
14.432,4.103,5.5,2,0.768552,0.438357
9.504,4.103,31,3,4.887417,0.598725
9.504,3.926,4.5,1.333333,0.580284,0.360455
9.504,3.926,9,2,1.193279,0.422812
9.504,3.926,16,7,2.158803,1.374996
7.338,3.926,9.5,1.333333,1.222266,0.340162
7.338,3.926,4.5,3.666667,0.720294,0.780408
1.205,3.926,0,3,0,0.688366
10.026,3.926,11,0.666667,1.575231,0.154024
10.026,3.926,10.5,3,1.213966,0.584442
10.026,3.926,5,2,0.555246,0.421189
10.026,4.236,11.5,2,1.187451,0.479889
10.026,4.236,3,2.333333,0.288841,0.455947
10.026,4.236,8.5,1.666667,0.808464,0.487097
10.026,4.236,16.5,2,1.817792,0.362965
10.026,4.236,13.5,3.333333,1.444414,0.71521
10.026,4.236,5.5,11,0.553708,1.899778
10.026,4.236,9.5,6.666667,1.25489,1.107969
10.026,4.236,6,0,0.749639,0
10.026,2.016,5,2.333333,0.530506,0.680106
10.026,2.016,5.5,0.666667,0.63116,0.187306
10.026,2.016,1.5,39.66667,0.143847,8.474049
10.026,2.016,2.5,3.666667,0.214235,0.993828
10.026,2.016,3.5,2.333333,0.362543,0.46851
10.026,2.016,20.5,4.333333,2.132204,1.008323
10.026,2.016,4,4.666667,0.450138,0.830661
10.026,2.016,11.5,6.333333,1.220318,1.387624
10.026,2.016,0.5,2.666667,0.093514,0.798076
10.026,3.714,14,4,1.407605,0.95507
10.026,3.714,5.5,3.666667,0.493867,0.859784
10.026,7.467,6.5,8.333333,0.725702,1.544968
10.026,7.467,29.5,8,3.555602,1.510937
10.026,7.467,9,31.33333,0.906976,5.526861
10.026,7.467,1,9.333333,0.154795,1.602561
10.026,4.458,18.5,10.33333,1.896698,2.283937
10.026,4.458,0,3,0,0.587548
10.026,4.458,11.5,7.333333,0.834398,1.317707
10.026,4.458,0.5,6.333333,0.058088,1.304918
10.026,4.458,7,0.666667,0.735574,0.118204
10.026,29.747,6.5,27,0.842715,4.437785
2.21,29.747,1.5,11.33333,0.31266,1.874216
1.36,5.402,4.5,2,0.930776,0.220087
1.36,2.363,4.5,1.666667,1.132544,0.240035
8.486,3.699,10,8,1.136189,1.469358
13.54,3.699,25.5,9,3.146694,1.972178
13.54,5.967,9,2.333333,1.034132,0.356154
13.54,2.71,18,3.333333,2.283289,0.798547
13.54,2.71,7,3,0.718984,0.605203
13.54,2.905,3,2,0.301061,0.467591
13.54,7.041,9.5,4,1.106137,0.872899
13.54,7.041,30.5,4,3.321702,0.73515
13.54,7.041,22.5,2.333333,2.601579,0.523008
13.54,2.557,34.5,6,3.880118,1.129997
13.54,2.557,12.5,8,1.348929,1.637147
13.54,6.307,4.5,6,0.371826,0.898141
13.54,3.353,2,6.666667,0.300346,1.308342
13.54,3.353,5.5,3.666667,0.742626,0.695377
13.54,3.353,5,5.666667,0.416972,1.069455
13.54,3.353,1.5,7.333333,0.197284,1.220894
13.54,3.353,6,4.666667,0.821365,0.908318
13.54,3.353,6.5,8.666667,0.891504,1.537696
9.312,3.353,45.5,1,6.902756,0.179754
9.381,1.419,1,2.333333,0.088707,0.84325
9.381,12.522,2,3.333333,0.192865,0.537655
9.381,12.522,2,22.33333,0.216322,3.846852
9.381,12.522,4,13,0.38688,2.549974
9.381,12.522,5,25.33333,0.64093,4.854483
9.381,0.636,0.5,0.666667,0.041235,0.199453
9.381,1.534,35.5,1.333333,4.079996,0.192815
6.891,1.534,6,3.333333,0.565298,0.930501
6.891,1.292,5,0.333333,0.553201,0.18026
2.818,1.292,5.5,3,0.683837,1.638808
9.437,1.292,6.5,1.666667,0.687831,0.74847
9.437,1.418,5.5,1.333333,0.757007,0.483052
9.437,2.917,12,4,1.372891,1.044851
9.437,5.777,2.5,1.666667,0.29042,0.262217
9.903,1.766,8.5,0.666667,0.945494,0.199718
5.892,3.418,5,4.333333,0.681143,0.923852
5.892,3.418,8,3,1.108207,0.482097
5.892,3.418,3.5,3.666667,0.359084,0.661628
5.892,3.418,13,3.333333,1.536831,0.638531
6.898,3.418,1.5,2.666667,0.160616,0.521165
6.898,3.418,3,0.666667,0.39774,0.127244
6.898,3.418,4,3.333333,0.465181,0.426531
6.898,3.418,7,5.333333,0.798313,1.060176
6.898,1.88,3,6.666667,0.306573,1.483699
6.898,2.797,9,0,1.062244,0
6.898,2.797,3,11.66667,0.343611,3.013323
6.898,2.797,5,2.333333,0.615155,0.679372
6.898,4.874,9,6,0.933982,1.138264
6.898,4.874,5,0.666667,0.459536,0.082899
6.898,4.874,9,7.333333,0.962041,1.411112
6.898,4.874,1.5,1.666667,0.157977,0.276799
6.898,0.855,5,0.333333,0.576612,0.089917
6.898,3.325,11,1,1.072462,0.22738
6.898,5.218,2.5,3.333333,0.203983,0.695897
6.898,5.218,9.5,6.333333,1.188383,1.304346
6.898,5.218,7,1,0.743008,0.190285
6.898,5.218,7,17,0.777317,2.970885
6.898,2.052,2.5,0.666667,0.227286,0.114871
6.898,5.865,1,12.33333,0.087433,1.60369
6.898,3.413,3.5,7.333333,0.380494,1.442299
6.898,1.771,5.5,1.666667,0.660674,0.311952
6.898,1.771,6.5,1,0.67148,0.294499
6.898,1.771,20.5,1.666667,1.996735,0.355673
6.898,1.771,1.5,0.666667,0.21499,0.149481
6.898,2.336,9,1.333333,1.113325,0.267769
6.898,2.336,10.5,1,1.545784,0.34062
6.898,7.178,4,5.666667,0.490926,0.878974
6.898,7.178,9,94.66667,1.139325,15.13155
6.898,7.178,5,26.33333,0.62215,4.548084
6.898,7.178,2.5,14.33333,0.297713,2.256971
6.898,7.178,2,3.666667,0.269007,0.708728
6.898,7.178,6,6.666667,0.636991,0.954765
6.898,7.178,7.5,9,0.726722,1.574473
6.898,7.178,12,0.666667,1.393274,0.09943
6.898,7.178,11,4.666667,1.174353,0.924533
6.898,7.178,2.5,5,0.292898,0.825778
6.898,7.178,9,2,0.996984,0.330944
6.898,7.178,1,8.666667,0.108885,1.258828
6.898,7.178,2,4.333333,0.296188,0.989211
6.898,7.178,4,2.333333,0.49336,0.416149
6.898,7.178,2,10.33333,0.27075,2.027297
6.898,7.178,3,14.66667,0.384196,2.355796
6.898,7.178,0.5,35,0.112285,5.178868
6.898,7.178,13.5,7.333333,1.369726,1.327525
6.898,7.178,7.5,2.333333,0.785095,0.430392
6.898,7.178,2.5,5.333333,0.287162,1.220005
3.293,7.178,0.5,33.66667,0.074717,5.723133
4.094,7.178,3.5,5.333333,0.387743,0.880965
4.094,7.178,1.5,4.333333,0.196381,0.797641
4.094,7.178,2,0.666667,0.198722,0.141531
4.094,7.178,4.5,4.666667,0.482591,0.689948
4.094,7.178,2,9.666667,0.231983,1.763706
4.094,7.178,5.5,6.333333,0.579072,1.150369
4.094,7.178,17,5.333333,1.884294,0.759146
4.094,7.178,5.5,10.66667,0.668207,2.189228
4.094,4.091,7,1,0.891321,0.188468
4.094,4.091,3,3,0.389262,0.476728
4.094,1.712,1,0,0.089065,0
4.094,4.092,3,10.33333,0.254738,2.431756
4.094,4.092,8.5,1,1.093535,0.216793
4.094,4.093,0.5,3.333333,0.075078,0.569066
4.094,4.093,3,2.666667,0.318533,0.730519
4.094,1.523,1,1.333333,0.095109,0.588785
4.094,1.523,4.5,2.666667,0.508917,0.960129
4.094,1.523,8,1,1.390559,0.465197
4.094,1.523,22,0.333333,2.578941,0.170677
4.094,1.523,3,1,0.439445,0.263924
4.094,1.523,23,2.666667,2.546004,1.406891
4.094,1.523,3,2.333333,0.418917,0.686123
4.094,1.523,1,0.666667,0.133931,0.202162
4.094,1.523,3,1,0.33953,0.540233
4.094,1.523,1,2.666667,0.094153,1.275985
4.094,1.523,4,0.333333,0.492694,0.172912
4.094,1.523,1,2.666667,0.150571,0.657652
4.094,1.523,4.5,3.333333,0.564514,0.707111
4.094,1.523,8.5,2,0.919776,0.861212
4.094,1.523,4.5,2,0.467308,0.773437
4.094,1.523,4,2,0.475318,0.592928
4.094,1.523,2,0.333333,0.201422,0.090122
4.094,1.523,1,4,0.161333,1.474004
4.094,1.523,1,1,0.133202,0.53126
4.094,1.523,2.5,3,0.30264,0.780656
4.094,1.523,1,0.666667,0.130133,0.078845
4.094,1.523,0.5,0.666667,0.07371,0.35629
4.094,1.523,3.5,2.333333,0.408575,1.28235
4.094,3.083,4,4,0.444644,1.232321
4.094,3.083,4,2.666667,0.566127,0.490341
4.094,2.018,1,0.333333,0.17213,0.033888
4.094,2.018,22,0.333333,2.155405,0.18026
4.094,2.018,6,0.333333,0.778501,0.170891
4.094,2.018,10.5,2,1.294766,1.043974
4.094,6.079,15.5,6.333333,1.499036,1.147667
4.094,2.429,5.5,3.333333,0.597328,0.993011
4.094,11.664,2.5,19,0.354194,3.395995
4.094,11.664,0.5,25,0.13584,4.600765
4.094,11.664,2.5,15.33333,0.263389,2.756163
4.094,11.664,3.5,6.666667,0.494511,1.926636
4.094,11.664,4,11,0.416418,2.169266
4.094,11.664,5,3.666667,0.673652,0.693538
4.094,11.664,1,21,0.113498,3.093315
4.094,11.664,2.5,14.66667,0.262886,2.399315
4.094,12.794,1.5,8.333333,0.169878,1.384439
13.946,1.259,13,1.333333,1.333027,0.38555
13.946,2.288,10,3.666667,0.978901,0.784747
13.946,2.288,1.5,3,0.189037,0.391887
13.946,2.288,38,0.333333,4.00514,0.059076
13.946,2.288,9.5,20.33333,0.826104,3.324348
13.946,2.288,14,0.666667,1.52119,0.112499
13.946,2.288,8,3,0.925303,0.891224
13.946,2.288,4,4,0.406702,0.979621
13.946,2.288,1.5,2.333333,0.136478,0.616272
13.946,2.353,8,1.5,1.027744,0.341356
13.946,2.353,17.5,3,1.793259,0.999467
13.946,2.353,15,0,1.561983,0
13.946,2.353,13,0.5,1.424942,0.219319
13.946,7.695,21,3.5,2.211614,0.57108
13.946,7.695,0.5,7.5,0.056321,1.073407
13.946,3.795,3.5,4.5,0.377147,0.885838
13.946,3.795,68,8.5,6.612422,1.895864
13.946,2.246,13,1.5,1.357704,0.310012
2.864,2.246,1,0.5,0.146674,0.106373
2.864,2.246,12.5,3.5,1.664319,1.087526
2.864,2.133,2,1.5,0.316535,0.465787
2.864,2.133,4,4,0.439869,1.126857
2.864,2.133,8,1,1.038674,0.203766
2.864,2.133,1,3.5,0.109453,1.107441
2.864,2.133,6,4.5,0.777253,1.10759
2.864,2.133,3.5,1.5,0.554762,0.378375
2.864,2.133,3.5,3.5,0.40284,0.998741
2.864,2.133,2,1,0.255046,0.341392
2.864,1.379,1.5,0.5,0.161791,0.285564
2.864,1.379,1,2,0.150813,0.322094
2.864,1.379,4,0,0.457871,0
2.864,1.379,2,1,0.178811,0.169036
2.864,1.379,3,0,0.371735,0
2.864,1.379,3,0.5,0.356583,0.079821
2.864,1.316,2,0.5,0.270097,0.101064
2.864,1.593,1,3.5,0.154563,1.120361
2.864,3.464,6,11.5,0.57402,2.653893
2.864,2.423,2,6.5,0.282715,1.595631
2.864,2.599,3.5,0,0.374549,0
2.855,3.468,0.5,2,0.13704,0.512444
8.889,3.468,12,3.5,1.533306,0.798376
8.889,3.468,1,3,0.140602,0.617782
8.889,2.583,14.5,0.5,2.460121,0.12068
8.889,2.583,3,1.5,0.467317,0.284059
3.415,5.902,1.5,10,0.260963,1.504941
3.415,1.295,4,18.5,0.471525,5.249081
4.584,11.68,0.5,3.5,0.067036,0.410423
4.584,4.156,1.5,8,0.201724,1.694488
2.187,2.693,0.5,0.5,0.220054,0.188969
2.187,2.693,6.5,5.5,1.247385,1.55263
2.187,3.284,4,1,0.962171,0.216447
2.187,2.061,1.5,3,0.279224,1.004144
2.187,2.061,0.5,0.5,0.060331,0.116783
7.822,2.061,2.5,5,0.330631,1.333462
7.822,2.061,3,2.5,0.399555,1.099803
4.993,2.061,1.5,7.5,0.31781,1.281742
4.993,3.841,15,2.5,2.685121,0.474554
2.029,2.82,8,1,1.110743,0.362771
3.395,3.984,0.5,4.5,0.158004,0.832225
3.395,2.376,0.5,0.5,0.058397,0.161399
3.395,1.526,0,1.5,0,0.302316
3.395,2.847,3.5,55.5,0.540358,9.766344
3.395,2.847,2,15.5,0.240836,2.878756
3.395,9.743,3.5,36.5,0.45253,7.382351
3.395,26.756,1,16.5,0.149565,2.307451
3.395,2.433,2,1.5,0.395246,0.389379
3.395,2.433,9.5,0.5,1.378637,0.123554
3.395,0.778,4.5,0,0.629706,0
2.954,10.782,10,16.5,1.136325,3.196779
3.609,10.782,2.5,1.5,0.476955,0.289168
3.609,10.782,6.5,13,0.830055,2.296048
4.159,10.782,3.5,8.5,0.436453,1.332485
2.817,10.782,4.5,1,0.724161,0.207421
2.817,10.782,1.5,9.5,0.296521,1.395503
2.817,4.029,2,5,0.302799,1.021763
2.817,2.254,6,4,0.956226,1.188048
2.817,2.338,4.5,1.5,1.061955,0.478906
2.817,2.338,1,4.5,0.14466,1.283052
2.817,1.426,0.5,9,0.194498,2.250494
2.817,1.333,10,0.5,1.519631,0.155096
2.817,1.333,10,4,1.688044,0.716411
2.817,1.333,5.5,3.5,0.91243,0.756213
2.817,1.333,0,1,0,0.450992
2.817,1.333,5,2.5,0.985832,0.671579
2.817,1.333,1,0.5,0.370791,0.304627
2.817,1.333,4,2.5,0.842342,0.479639
2.817,1.333,1,3,0.205589,0.611105
2.817,1.333,3.5,0,0.68552,0
2.817,1.333,1,7.5,0.136073,1.353309
2.817,1.333,4.5,4,1.015624,0.761854
2.817,3.095,1.5,4.5,0.277984,1.02425
2.817,3.095,2.5,6.5,0.447111,1.206239
2.817,3.095,2.5,4.5,0.748481,1.040004
2.817,3,9.5,4.5,1.577779,0.984879
2.817,2.403,1.5,0.5,0.286285,0.113173
3.804,2.403,0,7,0,3.309237
3.804,2.403,15,1,2.481706,0.520359
3.804,2.408,3,1,0.320442,0.16215
3.804,2.481,6,4.5,0.962469,0.70639
3.804,2.481,37.5,1.5,5.720286,0.385479
1.86,2.481,2.5,2.5,0.442742,0.377347
1.86,2.957,0.5,4.5,0.107306,0.999116
6.515,3.393,3.5,1.5,0.310292,0.378976
6.515,3.393,8.5,0.5,1.464891,0.091502
6.515,3.393,4.5,1.5,0.519838,0.248551
6.515,3.393,3,2,0.461209,0.530948
6.515,3.393,12,3.5,1.6835,0.655485
6.515,3.393,11.5,2.5,1.812654,0.72764
6.515,3.393,10.5,2,1.908938,0.359983
6.515,3.393,5.5,1,0.697567,0.172685
6.515,3.393,1.5,15.5,0.219284,3.264305
3.601,3.393,19,5.5,2.888339,1.366979
3.601,3.393,8,4.5,0.910338,0.728621
3.601,3.393,7,6,0.770076,0.851777
3.601,3.393,13,6,1.585373,1.218985
3.601,3.393,19,1.5,2.289292,0.421364
3.601,3.393,14.5,0,2.276272,0
3.601,3.393,14,10,1.931914,2.037467
1.468,3.393,9,2.5,0.930922,0.607978
1.468,2.53,2.5,5.5,0.2732,1.219315
1.468,2.53,0,0,0,0
1.468,2.53,0.5,0,0.067589,0
5.707,2.53,3,0.5,0.558133,0.094428
5.707,2.53,5.5,1.5,0.782916,0.342212
5.707,1.564,3.5,0.5,0.758824,0.27594
5.707,1.564,3,0.5,0.578697,0.110286
2.805,1.564,12.5,1.5,2.285737,0.18703
12.032,1.564,3,0.5,0.458676,0.27594
2.052,1.564,1.5,0.5,0.174599,0.283594
